kmedoids_4,x1,x2
1,-1.1667454,-2.9935832
1,-0.7977874,-2.4844084
3,4.3798184,-6.1232386
1,-1.0523866,-2.526137
2,1.8625438,-1.6145425
1,-1.606317,0.5691389
3,4.0170913,-6.1790624
4,-5.2985153,1.3681241
3,4.0162272,-6.1791797
2,5.2607117,2.9187758
4,-8.167459,0.82042664
2,3.974848,2.0677774
1,-4.177945,1.8333697
4,-5.09062,-0.7722019
2,3.78753,-1.7994468
4,-6.284168,-0.24352284
2,3.3604953,0.47874358
2,2.3294287,-0.059957676
3,1.1466423,-2.6008382
1,-3.1792505,1.5619987
4,-7.206488,-0.24547154
1,-3.6781137,-1.4234958
3,0.55459046,-5.479381
2,2.840793,-0.4068313
4,-6.520712,1.1457641
1,-3.6369638,0.94876784
1,-3.2517526,0.42434448
1,-2.4613256,-0.82065797
2,4.969356,1.9746635
2,5.444099,3.333988
2,4.360976,1.6966449
2,1.3633009,2.3321643
3,1.3892062,-4.604213
2,4.210041,0.299047
1,-4.333205,-0.6793759
4,-6.0577216,-0.7621998
2,3.1377604,0.5861391
4,-6.7361584,0.7108227
2,2.2325425,1.463314
4,-5.4794674,-0.61500955
4,-6.8643637,1.3497303
4,-5.6323647,-0.025209397
2,2.3498936,-1.0012093
2,3.6256964,0.36628994
1,-0.3976657,1.730002
3,1.1470506,-2.5673425
2,3.8663142,1.3259703
1,-4.6420407,0.6368597
2,5.3053427,3.0704727
2,5.0894647,2.2887838
2,3.7200537,0.79156166
4,-5.3783393,0.27104566
1,-3.2969134,1.1574875
4,-6.995623,0.5731872
1,-4.364226,0.59273756
2,4.431855,0.57784456
1,-3.74508,-0.5046185
4,-6.546883,0.80059654
1,0.106231585,1.6691524
1,-2.439174,-0.80814105
1,-2.704574,0.4763321
2,1.2002884,2.4061234
4,-7.4790645,-0.07777014
1,-3.0820148,0.7205097
2,5.3474836,0.9307174
2,3.0491328,0.19363406
4,-6.236009,0.30292544
4,-6.001035,1.8345407
1,-4.2905145,-0.1394997
4,-6.6043754,0.14717638
3,3.8002274,-6.178185
1,-3.559375,0.30931634
3,1.5095206,-4.3962154
1,-2.56351,0.21402216
2,2.1737766,1.4227345
2,3.4187827,2.0215929
2,3.7416415,-2.4606407
2,4.1165457,-1.0364555
4,-7.001587,-0.94256675
3,4.0176497,-6.17961
4,-6.171157,1.5579848
1,-3.6556516,-0.32076192
3,2.204175,-4.9934793
1,-3.304303,0.58230746
1,-1.5363219,-0.59480697
4,-7.922152,0.7271337
1,-2.065991,0.10600741
4,-5.7164288,1.0005268
2,4.838878,0.15927753
3,2.5042574,-5.34602
3,1.0168407,-5.209281
2,3.4657803,-0.78918433
2,3.66785,-0.59980905
2,4.16954,0.07545182
2,2.968675,-1.0564233
2,2.8992414,-0.54075736
3,3.4999218,-5.8988433
2,3.376439,-0.25895953
3,4.016289,-6.179052
2,2.4967496,-1.5280436
3,0.9966495,-5.161704
2,3.5063403,-0.22631548
